,casos_3304557,casos_est_3304557,casos_est_min_3304557,casos_est_max_3304557,p_rt1_3304557,p_inc100k_3304557,temp_min_3304557,temp_max_3304557,umid_min_3304557,pressao_min_3304557
2010-05-09,115,115.0,115,115.0,0.45316663,1.7042553,21.0,30.714285714285715,42.42857142857143,1012.1428571428571
2010-05-16,115,115.0,115,115.0,0.26866004,1.7042553,18.142857142857142,26.0,46.857142857142854,1013.4285714285714
2010-05-23,102,102.0,102,102.0,0.11818253,1.5116004,19.142857142857142,26.0,53.0,1012.7142857142857
2010-05-30,86,86.0,86,86.0,0.036955,1.2744867,18.714285714285715,26.571428571428573,53.285714285714285,1015.2857142857143
2010-06-06,54,54.0,54,54.0,0.000116219344,0.80025905,17.285714285714285,23.857142857142858,53.57142857142857,1017.5714285714286
2010-06-13,93,93.0,93,93.0,0.7557051,1.3782239,15.714285714285714,23.571428571428573,42.857142857142854,1021.2857142857143
2010-06-20,79,79.0,79,79.0,0.62197804,1.1707493,15.0,27.571428571428573,35.142857142857146,1014.4285714285714
2010-06-27,84,84.0,84,84.0,0.654782,1.2448474,17.142857142857142,25.571428571428573,52.285714285714285,1018.0
2010-07-04,101,101.0,101,101.0,0.90701723,1.4967808,17.0,26.428571428571427,46.57142857142857,1020.4285714285714
2010-07-11,95,95.0,95,95.0,0.71192306,1.4078631,17.0,27.285714285714285,41.714285714285715,1017.1428571428571
2010-07-18,91,91.0,91,91.0,0.43535587,1.3485847,19.285714285714285,25.571428571428573,59.142857142857146,1018.5714285714286
2010-07-25,126,126.0,126,126.0,0.9781072,1.8672711,18.0,27.714285714285715,42.714285714285715,890.8571428571429
2010-08-01,129,129.0,129,129.0,0.95917183,1.9117299,18.0,28.857142857142858,36.714285714285715,1017.7142857142857
2010-08-08,109,109.0,109,109.0,0.34461248,1.6153377,17.857142857142858,24.571428571428573,54.42857142857143,1018.4285714285714
2010-08-15,81,81.0,81,81.0,0.004155052,1.2003886,17.0,24.571428571428573,39.714285714285715,1018.2857142857143
2010-08-22,93,93.0,93,93.0,0.16832216,1.3782239,14.285714285714286,24.428571428571427,38.142857142857146,1020.4285714285714
2010-08-29,54,54.0,54,54.0,0.0008269478,0.80025905,17.285714285714285,31.428571428571427,26.285714285714285,1013.2857142857143
2010-09-05,59,59.0,59,59.0,0.04052437,0.8743571,19.0,29.428571428571427,34.285714285714285,1014.5714285714286
2010-09-12,81,81.0,81,81.0,0.865577,1.2003886,17.142857142857142,25.285714285714285,43.142857142857146,1019.5714285714286
2010-09-19,63,63.0,63,63.0,0.42961416,0.93363553,18.285714285714285,28.0,42.42857142857143,1014.2857142857143
2010-09-26,61,61.0,61,61.0,0.25509623,0.90399635,19.428571428571427,28.571428571428573,41.857142857142854,1012.8571428571429
2010-10-03,38,38.0,38,38.0,0.0036198841,0.5631453,20.857142857142858,26.0,61.285714285714285,1009.5714285714286
2010-10-10,44,44.0,44,44.0,0.117651835,0.65206295,19.142857142857142,26.571428571428573,46.285714285714285,1012.7142857142857
2010-10-17,49,49.0,49,49.0,0.58200383,0.726161,18.0,27.0,38.857142857142854,1014.8571428571429
2010-10-24,50,50.0,50,50.0,0.700982,0.7409806,19.285714285714285,25.857142857142858,49.857142857142854,1011.4285714285714
2010-10-31,72,72.0,72,72.0,0.98438287,1.0670121,20.428571428571427,28.714285714285715,43.42857142857143,1008.0
2010-11-07,72,72.0,72,72.0,0.9268115,1.0670121,20.571428571428573,27.714285714285715,46.42857142857143,1009.5714285714286
2010-11-14,89,89.0,89,89.0,0.96890754,1.3189454,20.571428571428573,26.0,52.57142857142857,1013.2857142857143
2010-11-21,120,120.0,120,120.0,0.998951,1.7783535,20.571428571428573,27.285714285714285,55.285714285714285,1008.4285714285714
2010-11-28,150,150.0,150,150.0,0.99983746,2.2229419,22.714285714285715,28.857142857142858,57.857142857142854,1006.0
2010-12-05,178,178.0,178,178.0,0.99967015,2.6378908,24.428571428571427,33.0,47.714285714285715,1006.7142857142857
2010-12-12,233,233.0,233,233.0,0.99999076,3.4529696,23.857142857142858,31.142857142857142,50.42857142857143,1004.8571428571429
2010-12-19,186,186.0,186,186.0,0.6109244,2.7564478,23.857142857142858,31.714285714285715,51.285714285714285,1005.2857142857143
2010-12-26,151,151.0,151,151.0,0.0059689283,2.2377615,24.0,31.571428571428573,47.857142857142854,1007.5714285714286
2011-01-02,319,319.0,319,319.0,1.0,4.727456,22.571428571428573,28.285714285714285,55.285714285714285,1006.0
2011-01-09,385,385.0,385,385.0,1.0,5.7055507,23.571428571428573,31.571428571428573,49.142857142857146,1007.4285714285714
2011-01-16,388,388.0,388,388.0,0.9999316,5.7500095,24.142857142857142,32.142857142857146,47.285714285714285,1004.1428571428571
2011-01-23,642,642.0,642,642.0,1.0,9.514191,25.0,34.285714285714285,38.142857142857146,1007.5714285714286
2011-01-30,1049,1049.0,1049,1049.0,1.0,15.545773,24.571428571428573,35.0,32.714285714285715,1009.7142857142857
2011-02-06,1662,1662.0,1662,1662.0,1.0,24.630196,23.857142857142858,34.42857142857143,37.142857142857146,1009.1428571428571
2011-02-13,2026,2026.0,2026,2026.0,1.0,30.024534,24.714285714285715,36.142857142857146,28.428571428571427,1008.0
2011-02-20,2105,2105.0,2105,2105.0,1.0,31.195284,24.285714285714285,33.285714285714285,32.42857142857143,1010.5714285714286
