,casos_2507507,casos_est_2507507,casos_est_min_2507507,casos_est_max_2507507,p_rt1_2507507,p_inc100k_2507507,temp_min_2507507,temp_max_2507507,umid_min_2507507,pressao_min_2507507
2010-01-03,0,0.0,0,0,0.0,0.0,25.0,29.666666666666668,56.666666666666664,1009.6666666666666
2010-01-10,0,0.0,0,0,0.0,0.0,25.0,29.428571428571427,59.142857142857146,1010.1428571428571
2010-01-17,0,0.0,0,0,0.0,0.0,25.0,29.142857142857142,63.0,1011.5714285714286
2010-01-24,0,0.0,0,0,0.0,0.0,24.142857142857142,29.0,67.0,1010.7142857142857
2010-01-31,0,0.0,0,0,0.0,0.0,24.857142857142858,30.0,56.714285714285715,1009.1428571428571
2010-02-07,0,0.0,0,0,0.5,0.0,26.571428571428573,30.571428571428573,55.0,1010.4285714285714
2010-02-14,0,0.0,0,0,0.5,0.0,25.571428571428573,30.428571428571427,51.0,1008.7142857142857
2010-02-21,0,0.0,0,0,0.5,0.0,26.0,30.571428571428573,48.57142857142857,1010.1428571428571
2010-02-28,1,1.0,1,1,0.9632679,0.122322515,26.857142857142858,31.0,52.857142857142854,1009.2857142857143
2010-03-07,0,0.0,0,0,0.0,0.0,24.714285714285715,31.857142857142858,46.142857142857146,1008.8571428571429
2010-03-14,0,0.0,0,0,0.0,0.0,26.0,31.142857142857142,43.57142857142857,1009.2857142857143
2010-03-21,0,0.0,0,0,0.0,0.0,25.571428571428573,31.0,56.0,1010.1428571428571
2010-03-28,0,0.0,0,0,0.0,0.0,25.142857142857142,30.285714285714285,58.0,1009.0
2010-04-04,0,0.0,0,0,0.0,0.0,25.571428571428573,31.0,56.285714285714285,1008.7142857142857
2010-04-11,0,0.0,0,0,0.0,0.0,25.142857142857142,30.428571428571427,57.857142857142854,1008.0
2010-04-18,0,0.0,0,0,0.0,0.0,24.428571428571427,30.285714285714285,62.0,1009.5714285714286
2010-04-25,0,0.0,0,0,0.0,0.0,25.285714285714285,30.428571428571427,53.857142857142854,1010.4285714285714
2010-05-02,0,0.0,0,0,0.0,0.0,24.428571428571427,30.285714285714285,57.714285714285715,1010.4285714285714
2010-05-09,0,0.0,0,0,0.0,0.0,24.714285714285715,31.142857142857142,51.42857142857143,1010.1428571428571
2010-05-16,0,0.0,0,0,0.0,0.0,24.428571428571427,29.714285714285715,59.57142857142857,1010.0
2010-05-23,0,0.0,0,0,0.0,0.0,23.857142857142858,29.142857142857142,57.57142857142857,1009.8571428571429
2010-05-30,0,0.0,0,0,0.0,0.0,24.0,29.285714285714285,57.42857142857143,1011.0
2010-06-06,0,0.0,0,0,0.0,0.0,23.714285714285715,29.571428571428573,58.142857142857146,1013.1428571428571
2010-06-13,0,0.0,0,0,0.0,0.0,23.571428571428573,29.0,58.57142857142857,883.4285714285714
2010-06-20,0,0.0,0,0,0.0,0.0,23.285714285714285,27.857142857142858,61.285714285714285,1012.7142857142857
2010-06-27,0,0.0,0,0,0.0,0.0,23.285714285714285,28.714285714285715,52.714285714285715,1013.2857142857143
2010-07-04,0,0.0,0,0,0.0,0.0,22.142857142857142,28.428571428571427,55.0,1013.2857142857143
2010-07-11,0,0.0,0,0,0.0,0.0,22.571428571428573,28.285714285714285,58.57142857142857,884.4285714285714
2010-07-18,0,0.0,0,0,0.0,0.0,22.571428571428573,28.571428571428573,57.142857142857146,1013.4285714285714
2010-07-25,0,0.0,0,0,0.0,0.0,22.0,27.571428571428573,52.285714285714285,1015.0
2010-08-01,0,0.0,0,0,0.0,0.0,22.428571428571427,27.857142857142858,53.42857142857143,1013.2857142857143
2010-08-08,0,0.0,0,0,0.0,0.0,21.285714285714285,26.142857142857142,60.285714285714285,1013.8571428571429
2010-08-15,0,0.0,0,0,0.0,0.0,22.285714285714285,27.428571428571427,53.142857142857146,1015.5714285714286
2010-08-22,0,0.0,0,0,0.0,0.0,20.857142857142858,27.285714285714285,55.0,1015.0
2010-08-29,0,0.0,0,0,0.0,0.0,21.857142857142858,27.428571428571427,55.714285714285715,883.2857142857143
2010-09-05,0,0.0,0,0,0.0,0.0,23.142857142857142,27.571428571428573,48.142857142857146,1014.1428571428571
2010-09-12,0,0.0,0,0,0.0,0.0,22.571428571428573,27.857142857142858,50.0,1013.4285714285714
2010-09-19,0,0.0,0,0,0.0,0.0,23.571428571428573,28.0,51.857142857142854,1013.0
2010-09-26,0,0.0,0,0,0.0,0.0,23.571428571428573,27.857142857142858,52.0,1012.7142857142857
2010-10-03,0,0.0,0,0,0.0,0.0,24.428571428571427,29.0,50.57142857142857,867.7142857142857
2010-10-10,0,0.0,0,0,0.0,0.0,23.857142857142858,29.285714285714285,48.285714285714285,1012.5714285714286
2010-10-17,0,0.0,0,0,0.0,0.0,25.428571428571427,29.428571428571427,48.714285714285715,1012.2857142857143
2010-10-24,0,0.0,0,0,0.0,0.0,24.428571428571427,29.142857142857142,54.857142857142854,1008.4285714285714
2010-10-31,0,0.0,0,0,0.0,0.0,24.285714285714285,30.285714285714285,50.142857142857146,1009.2857142857143
2010-11-07,0,0.0,0,0,0.0,0.0,25.428571428571427,29.428571428571427,54.142857142857146,1010.4285714285714
2010-11-14,0,0.0,0,0,0.0,0.0,25.0,29.571428571428573,48.857142857142854,1010.4285714285714
2010-11-21,0,0.0,0,0,0.0,0.0,25.714285714285715,29.857142857142858,45.0,1009.7142857142857
2010-11-28,0,0.0,0,0,0.0,0.0,25.857142857142858,30.0,46.714285714285715,1008.1428571428571
2010-12-05,0,0.0,0,0,0.0,0.0,25.142857142857142,29.571428571428573,50.285714285714285,1009.7142857142857
2010-12-12,0,0.0,0,0,0.5,0.0,25.285714285714285,30.285714285714285,51.42857142857143,1007.4285714285714
2010-12-19,0,0.0,0,0,0.5,0.0,25.0,29.428571428571427,52.57142857142857,1006.4285714285714
2010-12-26,0,0.0,0,0,0.5,0.0,25.571428571428573,29.428571428571427,55.285714285714285,1009.5714285714286
2011-01-02,22,22.0,22,22,0.9999996,2.6910954,25.285714285714285,29.857142857142858,49.142857142857146,1007.4285714285714
2011-01-09,14,14.0,14,14,0.9665398,1.7125152,25.428571428571427,29.714285714285715,51.285714285714285,1008.7142857142857
2011-01-16,24,24.0,24,24,0.96026987,2.9357402,24.571428571428573,29.857142857142858,52.285714285714285,1008.5714285714286
2011-01-23,19,19.0,19,19,0.58316195,2.3241277,24.142857142857142,28.857142857142858,56.714285714285715,1007.5714285714286
2011-01-30,38,38.0,38,38,0.98858726,4.6482553,23.857142857142858,29.285714285714285,55.42857142857143,1009.5714285714286
2011-02-06,44,44.0,44,44,0.98620385,5.3821907,26.142857142857142,30.142857142857142,51.285714285714285,1008.1428571428571
2011-02-13,59,59.0,59,59,0.9939028,7.217028,26.0,29.714285714285715,53.0,1009.7142857142857
2011-02-20,71,71.0,71,71,0.99008226,8.684898,24.0,29.0,55.857142857142854,1009.2857142857143
2011-02-27,86,86.0,86,86,0.99020463,10.519736,24.714285714285715,29.714285714285715,55.142857142857146,1008.7142857142857
2011-03-06,129,129.0,129,129,0.99996567,15.779604,24.285714285714285,30.285714285714285,51.857142857142854,1007.8571428571429
2011-03-13,165,165.0,165,165,0.9999939,20.183214,25.857142857142858,30.142857142857142,53.42857142857143,1008.2857142857143
2011-03-20,195,195.0,195,195,0.9999332,23.85289,23.714285714285715,30.857142857142858,48.0,879.1428571428571
2011-03-27,242,242.0,242,242,0.999966,29.602049,24.571428571428573,30.857142857142858,52.285714285714285,1008.2857142857143
2011-04-03,215,215.0,215,215,0.83566606,26.299341,25.0,30.857142857142858,54.0,1009.2857142857143
2011-04-10,194,194.0,194,194,0.14134529,23.730568,24.285714285714285,29.428571428571427,65.85714285714286,1009.4285714285714
2011-04-17,143,143.0,143,143,0.00016264588,17.492119,23.714285714285715,29.285714285714285,62.0,1008.4285714285714
2011-04-24,208,208.0,208,208,0.82750046,25.443083,22.857142857142858,28.714285714285715,62.0,1009.5714285714286
2011-05-01,248,248.0,248,248,0.999472,30.335983,23.428571428571427,28.857142857142858,62.0,1008.5714285714286
2011-05-08,279,279.0,279,279,0.9996833,34.12798,23.285714285714285,28.142857142857142,67.14285714285714,1009.8571428571429
2011-05-15,266,266.0,266,266,0.87870365,32.53779,23.0,28.285714285714285,60.714285714285715,1009.1428571428571
2011-05-22,234,234.0,234,234,0.11901798,28.623468,23.571428571428573,28.714285714285715,60.142857142857146,1010.4285714285714
2011-05-29,234,234.0,234,234,0.14720112,28.623468,23.285714285714285,28.714285714285715,58.0,1011.7142857142857
2011-06-05,171,171.0,171,171,0.0003317834,20.91715,24.0,28.714285714285715,57.57142857142857,1011.2857142857143
2011-06-12,192,192.0,192,192,0.1048215,23.485922,23.142857142857142,28.142857142857142,59.57142857142857,1013.5714285714286
2011-06-19,140,140.0,140,140,0.0018693667,17.125153,22.714285714285715,28.0,56.857142857142854,1012.4285714285714
2011-06-26,142,142.0,142,142,0.03900082,17.369797,21.857142857142858,27.571428571428573,61.142857142857146,1012.2857142857143
2011-07-03,104,104.0,104,104,0.0011542476,12.721541,22.571428571428573,27.714285714285715,59.0,1012.1428571428571
2011-07-10,84,84.0,84,84,0.0005807117,10.275091,22.571428571428573,27.428571428571427,64.28571428571429,1013.0
2011-07-17,71,71.0,71,71,0.0024616534,8.684898,21.428571428571427,26.142857142857142,64.14285714285714,1012.8571428571429
2011-07-24,76,76.0,76,76,0.16842458,9.296511,21.428571428571427,27.142857142857142,54.42857142857143,1014.7142857142857
2011-07-31,46,46.0,46,46,0.0032401255,5.626836,21.714285714285715,27.428571428571427,52.285714285714285,737.2857142857143
2011-08-07,44,44.0,44,44,0.01722914,5.3821907,21.714285714285715,28.142857142857142,55.142857142857146,869.2857142857143
2011-08-14,32,32.0,32,32,0.0098095825,3.9143205,21.428571428571427,27.571428571428573,51.142857142857146,883.0
2011-08-21,33,33.0,33,33,0.13223073,4.036643,22.0,27.428571428571427,50.714285714285715,882.4285714285714
2011-08-28,39,39.0,39,39,0.6213197,4.770578,22.142857142857142,27.428571428571427,57.857142857142854,884.4285714285714
2011-09-04,17,17.0,17,17,0.008056911,2.0794828,23.285714285714285,27.857142857142858,51.857142857142854,870.0
2011-09-11,21,21.0,21,21,0.08585342,2.5687728,22.857142857142858,28.142857142857142,46.142857142857146,1014.2857142857143
2011-09-18,20,20.0,20,20,0.256528,2.4464502,23.428571428571427,27.857142857142858,51.42857142857143,883.7142857142857
2011-09-25,19,19.0,19,19,0.39781758,2.3241277,22.0,27.714285714285715,49.57142857142857,1013.4285714285714
2011-10-02,20,20.0,20,20,0.5106888,2.4464502,24.0,28.428571428571427,51.857142857142854,1013.4285714285714
2011-10-09,9,9.0,9,9,0.026522972,1.1009027,24.285714285714285,28.428571428571427,49.42857142857143,1012.0
2011-10-16,13,13.0,13,13,0.24906103,1.5901927,24.571428571428573,28.428571428571427,53.142857142857146,1009.4285714285714
2011-10-23,6,6.0,6,6,0.04779871,0.73393506,24.714285714285715,28.857142857142858,51.857142857142854,1009.7142857142857
2011-10-30,15,15.0,15,15,0.80068177,1.8348377,24.857142857142858,29.285714285714285,50.0,1010.1428571428571
2011-11-06,15,15.0,15,15,0.81489176,1.8348377,24.714285714285715,28.857142857142858,50.857142857142854,1010.8571428571429
2011-11-13,12,12.0,12,12,0.46248055,1.4678701,24.571428571428573,28.857142857142858,52.42857142857143,1010.1428571428571
2011-11-20,12,12.0,12,12,0.37773892,1.4678701,24.857142857142858,29.285714285714285,52.285714285714285,1010.1428571428571
2011-11-27,13,13.0,13,13,0.5111121,1.5901927,25.428571428571427,29.571428571428573,48.142857142857146,1010.8571428571429
2011-12-04,13,13.0,13,13,0.5469047,1.5901927,25.428571428571427,29.285714285714285,49.0,1009.7142857142857
2011-12-11,14,14.0,14,14,0.60026926,1.7125152,25.142857142857142,29.714285714285715,50.42857142857143,1009.2857142857143
2011-12-18,10,10.0,10,10,0.26417017,1.2232251,21.428571428571427,25.142857142857142,58.57142857142857,866.2857142857143
2011-12-25,2,2.0,2,2,0.001692916,0.24464503,25.857142857142858,30.0,50.57142857142857,1010.7142857142857
2012-01-01,19,19.0,19,19,0.9633111,2.3241277,25.375,32.0,47.0,1011.75
2012-01-08,12,12.0,12,12,0.7266378,1.4678701,25.428571428571427,29.714285714285715,51.714285714285715,1011.1428571428571
2012-01-15,12,12.0,12,12,0.48193538,1.4678701,25.714285714285715,29.857142857142858,52.857142857142854,1011.4285714285714
2012-01-22,24,24.0,24,24,0.9554581,2.9357402,24.0,29.0,56.42857142857143,1010.2857142857143
2012-01-29,20,20.0,20,20,0.7717422,2.4464502,24.571428571428573,29.142857142857142,56.0,1010.1428571428571
2012-02-05,15,15.0,15,15,0.2506812,1.8348377,25.428571428571427,30.0,49.714285714285715,1010.7142857142857
2012-02-12,11,11.0,11,11,0.074388996,1.3455477,26.0,30.428571428571427,49.42857142857143,1010.0
2012-02-19,34,34.0,34,34,0.9934386,4.1589656,24.714285714285715,29.428571428571427,51.0,1010.2857142857143
2012-02-26,57,57.0,57,57,0.99998945,6.972383,25.285714285714285,29.285714285714285,53.57142857142857,1009.4285714285714
2012-03-04,49,49.0,49,49,0.95658696,5.993803,24.571428571428573,30.285714285714285,46.42857142857143,1010.5714285714286
2012-03-11,61,61.0,61,61,0.91575736,7.4616733,24.285714285714285,30.0,51.857142857142854,1010.5714285714286
2012-03-18,113,113.0,113,113,0.9999953,13.822444,25.857142857142858,29.857142857142858,54.142857142857146,1010.4285714285714
2012-03-25,114,114.0,114,114,0.9987524,13.944766,25.714285714285715,30.285714285714285,51.142857142857146,879.7142857142857
2012-04-01,125,125.0,125,125,0.96993065,15.290314,25.428571428571427,30.0,52.0,1010.5714285714286
2012-04-08,182,182.0,182,182,0.99993265,22.262697,25.0,29.714285714285715,56.285714285714285,1009.5714285714286
2012-04-15,206,206.0,206,206,0.99985474,25.198439,24.428571428571427,30.0,49.857142857142854,1010.4285714285714
2012-04-22,214,214.0,214,214,0.9861177,26.177017,24.571428571428573,30.142857142857142,48.42857142857143,1010.2857142857143
2012-04-29,253,253.0,253,253,0.9945948,30.947596,24.857142857142858,30.285714285714285,44.714285714285715,1010.1428571428571
2012-05-06,227,227.0,227,227,0.64612335,27.76721,24.714285714285715,30.571428571428573,43.857142857142854,1011.7142857142857
2012-05-13,243,243.0,243,243,0.681665,29.724371,23.0,29.714285714285715,49.0,1011.7142857142857
2012-05-20,169,169.0,169,169,0.0007757703,20.672504,25.142857142857142,30.285714285714285,48.714285714285715,1011.1428571428571
2012-05-27,146,146.0,146,146,0.00012581315,17.859087,23.571428571428573,28.428571428571427,60.714285714285715,752.1428571428571
