,casos_3304557,casos_est_3304557,casos_est_min_3304557,casos_est_max_3304557,p_rt1_3304557,p_inc100k_3304557,temp_min_3304557,temp_max_3304557,umid_min_3304557,pressao_min_3304557
2010-01-03,0,0.0,0,0,0.0,0.0,24.333333333333332,33.0,42.0,1009.6666666666666
2010-01-10,0,0.0,0,0,0.0,0.0,25.428571428571427,34.0,43.285714285714285,1008.0
2010-01-17,0,0.0,0,0,0.0,0.0,24.142857142857142,34.0,43.857142857142854,1010.2857142857143
2010-01-24,0,0.0,0,0,0.0,0.0,23.714285714285715,34.285714285714285,39.285714285714285,1009.0
2010-01-31,0,0.0,0,0,0.0,0.0,23.857142857142858,33.857142857142854,41.285714285714285,1009.8571428571429
2010-02-07,0,0.0,0,0,0.5,0.0,25.142857142857142,37.0,30.142857142857142,1009.1428571428571
2010-02-14,0,0.0,0,0,0.5,0.0,24.714285714285715,36.42857142857143,29.714285714285715,1008.7142857142857
2010-02-21,0,0.0,0,0,0.5,0.0,24.428571428571427,34.285714285714285,40.142857142857146,1011.0
2010-02-28,0,0.0,0,0,0.5,0.0,23.285714285714285,32.142857142857146,46.42857142857143,1010.1428571428571
2010-03-07,0,0.0,0,0,0.5,0.0,21.571428571428573,26.428571428571427,69.0,1010.5714285714286
2010-03-14,0,0.0,0,0,0.5,0.0,23.714285714285715,35.285714285714285,39.0,1005.8571428571429
2010-03-21,0,0.0,0,0,0.5,0.0,22.571428571428573,30.0,55.714285714285715,1011.8571428571429
2010-03-28,0,0.0,0,0,0.5,0.0,23.714285714285715,33.42857142857143,43.0,1009.7142857142857
2010-04-04,0,0.0,0,0,0.5,0.0,23.142857142857142,31.0,55.857142857142854,1011.0
2010-04-11,0,0.0,0,0,0.5,0.0,19.142857142857142,25.428571428571427,59.285714285714285,1013.4285714285714
2010-04-18,0,0.0,0,0,0.5,0.0,20.285714285714285,29.285714285714285,45.857142857142854,1016.8571428571429
2010-04-25,0,0.0,0,0,0.5,0.0,22.571428571428573,32.142857142857146,41.714285714285715,1011.4285714285714
2010-05-02,1,1.0,1,1,0.9632679,0.014819612,20.285714285714285,28.0,51.42857142857143,1014.2857142857143
2010-05-09,0,0.0,0,0,0.0,0.0,21.0,30.714285714285715,42.42857142857143,1012.1428571428571
2010-05-16,0,0.0,0,0,0.0,0.0,18.142857142857142,26.0,46.857142857142854,1013.4285714285714
2010-05-23,0,0.0,0,0,0.0,0.0,19.142857142857142,26.0,53.0,1012.7142857142857
2010-05-30,0,0.0,0,0,0.0,0.0,18.714285714285715,26.571428571428573,53.285714285714285,1015.2857142857143
