,casos_2503001,casos_est_2503001,casos_est_min_2503001,casos_est_max_2503001,p_rt1_2503001,p_inc100k_2503001,temp_min_2503001,temp_max_2503001,umid_min_2503001,pressao_min_2503001,casos_2512507,casos_est_2512507,casos_est_min_2512507,casos_est_max_2512507,p_rt1_2512507,p_inc100k_2512507,temp_min_2512507,temp_max_2512507,umid_min_2512507,pressao_min_2512507,casos_2517100,casos_est_2517100,casos_est_min_2517100,casos_est_max_2517100,p_rt1_2517100,p_inc100k_2517100,temp_min_2517100,temp_max_2517100,umid_min_2517100,pressao_min_2517100,casos_2507507,casos_est_2507507,casos_est_min_2507507,casos_est_max_2507507,p_rt1_2507507,p_inc100k_2507507,temp_min_2507507,temp_max_2507507,umid_min_2507507,pressao_min_2507507,casos_2506004,casos_est_2506004,casos_est_min_2506004,casos_est_max_2506004,p_rt1_2506004,p_inc100k_2506004,temp_min_2506004,temp_max_2506004,umid_min_2506004,pressao_min_2506004,casos_2504702,casos_est_2504702,casos_est_min_2504702,casos_est_max_2504702,p_rt1_2504702,p_inc100k_2504702,temp_min_2504702,temp_max_2504702,umid_min_2504702,pressao_min_2504702,casos_2512002,casos_est_2512002,casos_est_min_2512002,casos_est_max_2512002,p_rt1_2512002,p_inc100k_2512002,temp_min_2512002,temp_max_2512002,umid_min_2512002,pressao_min_2512002,casos_2504306,casos_est_2504306,casos_est_min_2504306,casos_est_max_2504306,p_rt1_2504306,p_inc100k_2504306,temp_min_2504306,temp_max_2504306,umid_min_2504306,pressao_min_2504306
2010-03-14,0,0.0,0,0,0.5,0.0,26.0,31.142857142857142,43.57142857142857,1009.2857142857143,0,0.0,0,0,0.5,0.0,23.428571428571427,34.714285714285715,32.714285714285715,1009.8571428571429,0,0.0,0,0,0.5,0.0,23.428571428571427,34.714285714285715,32.714285714285715,1009.8571428571429,0,0.0,0,0,0.5,0.0,26.0,31.142857142857142,43.57142857142857,1009.2857142857143,0,0.0,0,0,0.5,0.0,23.428571428571427,34.714285714285715,32.714285714285715,1009.8571428571429,0,0.0,0,0,0.5,0.0,23.428571428571427,34.714285714285715,32.714285714285715,1009.8571428571429,0,0.0,0,0,0.5,0.0,23.428571428571427,34.714285714285715,32.714285714285715,1009.8571428571429,0,0.0,0,0,0.5,0.0,23.428571428571427,34.714285714285715,32.714285714285715,1009.8571428571429
2010-03-21,0,0.0,0,0,0.5,0.0,25.571428571428573,31.0,56.0,1010.1428571428571,0,0.0,0,0,0.5,0.0,22.857142857142858,32.42857142857143,47.142857142857146,1011.5714285714286,0,0.0,0,0,0.5,0.0,22.857142857142858,32.42857142857143,47.142857142857146,1011.5714285714286,0,0.0,0,0,0.5,0.0,25.571428571428573,31.0,56.0,1010.1428571428571,0,0.0,0,0,0.5,0.0,22.857142857142858,32.42857142857143,47.142857142857146,1011.5714285714286,0,0.0,0,0,0.5,0.0,22.857142857142858,32.42857142857143,47.142857142857146,1011.5714285714286,0,0.0,0,0,0.5,0.0,22.857142857142858,32.42857142857143,47.142857142857146,1011.5714285714286,0,0.0,0,0,0.5,0.0,22.857142857142858,32.42857142857143,47.142857142857146,1011.5714285714286
2010-03-28,0,0.0,0,0,0.5,0.0,25.142857142857142,30.285714285714285,58.0,1009.0,0,0.0,0,0,0.5,0.0,22.714285714285715,32.0,44.714285714285715,1010.5714285714286,0,0.0,0,0,0.5,0.0,22.714285714285715,32.0,44.714285714285715,1010.5714285714286,0,0.0,0,0,0.5,0.0,25.142857142857142,30.285714285714285,58.0,1009.0,0,0.0,0,0,0.5,0.0,22.714285714285715,32.0,44.714285714285715,1010.5714285714286,0,0.0,0,0,0.5,0.0,22.714285714285715,32.0,44.714285714285715,1010.5714285714286,0,0.0,0,0,0.5,0.0,22.714285714285715,32.0,44.714285714285715,1010.5714285714286,0,0.0,0,0,0.5,0.0,22.714285714285715,32.0,44.714285714285715,1010.5714285714286
2010-04-04,0,0.0,0,0,0.5,0.0,25.571428571428573,31.0,56.285714285714285,1008.7142857142857,0,0.0,0,0,0.5,0.0,23.285714285714285,32.857142857142854,45.42857142857143,1009.7142857142857,0,0.0,0,0,0.5,0.0,23.285714285714285,32.857142857142854,45.42857142857143,1009.7142857142857,0,0.0,0,0,0.5,0.0,25.571428571428573,31.0,56.285714285714285,1008.7142857142857,0,0.0,0,0,0.5,0.0,23.285714285714285,32.857142857142854,45.42857142857143,1009.7142857142857,0,0.0,0,0,0.5,0.0,23.285714285714285,32.857142857142854,45.42857142857143,1009.7142857142857,0,0.0,0,0,0.5,0.0,23.285714285714285,32.857142857142854,45.42857142857143,1009.7142857142857,0,0.0,0,0,0.5,0.0,23.285714285714285,32.857142857142854,45.42857142857143,1009.7142857142857
2010-04-11,0,0.0,0,0,0.5,0.0,25.142857142857142,30.428571428571427,57.857142857142854,1008.0,0,0.0,0,0,0.5,0.0,23.0,31.0,58.142857142857146,1009.7142857142857,0,0.0,0,0,0.5,0.0,23.0,31.0,58.142857142857146,1009.7142857142857,0,0.0,0,0,0.5,0.0,25.142857142857142,30.428571428571427,57.857142857142854,1008.0,0,0.0,0,0,0.5,0.0,23.0,31.0,58.142857142857146,1009.7142857142857,0,0.0,0,0,0.5,0.0,23.0,31.0,58.142857142857146,1009.7142857142857,0,0.0,0,0,0.5,0.0,23.0,31.0,58.142857142857146,1009.7142857142857,0,0.0,0,0,0.5,0.0,23.0,31.0,58.142857142857146,1009.7142857142857
2010-04-18,0,0.0,0,0,0.5,0.0,24.428571428571427,30.285714285714285,62.0,1009.5714285714286,0,0.0,0,0,0.5,0.0,22.571428571428573,31.285714285714285,50.285714285714285,1011.0,0,0.0,0,0,0.5,0.0,22.571428571428573,31.285714285714285,50.285714285714285,1011.0,0,0.0,0,0,0.5,0.0,24.428571428571427,30.285714285714285,62.0,1009.5714285714286,0,0.0,0,0,0.5,0.0,22.571428571428573,31.285714285714285,50.285714285714285,1011.0,0,0.0,0,0,0.5,0.0,22.571428571428573,31.285714285714285,50.285714285714285,1011.0,0,0.0,0,0,0.5,0.0,22.571428571428573,31.285714285714285,50.285714285714285,1011.0,0,0.0,0,0,0.5,0.0,22.571428571428573,31.285714285714285,50.285714285714285,1011.0
2010-04-25,0,0.0,0,0,0.5,0.0,25.285714285714285,30.428571428571427,53.857142857142854,1010.4285714285714,0,0.0,0,0,0.5,0.0,22.571428571428573,30.428571428571427,51.0,1011.7142857142857,0,0.0,0,0,0.5,0.0,22.571428571428573,30.428571428571427,51.0,1011.7142857142857,0,0.0,0,0,0.5,0.0,25.285714285714285,30.428571428571427,53.857142857142854,1010.4285714285714,0,0.0,0,0,0.5,0.0,22.571428571428573,30.428571428571427,51.0,1011.7142857142857,0,0.0,0,0,0.5,0.0,22.571428571428573,30.428571428571427,51.0,1011.7142857142857,0,0.0,0,0,0.5,0.0,22.571428571428573,30.428571428571427,51.0,1011.7142857142857,0,0.0,0,0,0.5,0.0,22.571428571428573,30.428571428571427,51.0,1011.7142857142857
2010-05-02,0,0.0,0,0,0.5,0.0,24.428571428571427,30.285714285714285,57.714285714285715,1010.4285714285714,0,0.0,0,0,0.5,0.0,22.571428571428573,31.714285714285715,49.42857142857143,1011.1428571428571,0,0.0,0,0,0.5,0.0,22.571428571428573,31.714285714285715,49.42857142857143,1011.1428571428571,0,0.0,0,0,0.5,0.0,24.428571428571427,30.285714285714285,57.714285714285715,1010.4285714285714,0,0.0,0,0,0.5,0.0,22.571428571428573,31.714285714285715,49.42857142857143,1011.1428571428571,0,0.0,0,0,0.5,0.0,22.571428571428573,31.714285714285715,49.42857142857143,1011.1428571428571,0,0.0,0,0,0.5,0.0,22.571428571428573,31.714285714285715,49.42857142857143,1011.1428571428571,0,0.0,0,0,0.5,0.0,22.571428571428573,31.714285714285715,49.42857142857143,1011.1428571428571
2010-05-09,0,0.0,0,0,0.5,0.0,24.714285714285715,31.142857142857142,51.42857142857143,1010.1428571428571,0,0.0,0,0,0.5,0.0,22.0,30.714285714285715,53.57142857142857,1011.8571428571429,0,0.0,0,0,0.5,0.0,22.0,30.714285714285715,53.57142857142857,1011.8571428571429,0,0.0,0,0,0.5,0.0,24.714285714285715,31.142857142857142,51.42857142857143,1010.1428571428571,0,0.0,0,0,0.5,0.0,22.0,30.714285714285715,53.57142857142857,1011.8571428571429,0,0.0,0,0,0.5,0.0,22.0,30.714285714285715,53.57142857142857,1011.8571428571429,0,0.0,0,0,0.5,0.0,22.0,30.714285714285715,53.57142857142857,1011.8571428571429,0,0.0,0,0,0.5,0.0,22.0,30.714285714285715,53.57142857142857,1011.8571428571429
2010-05-16,0,0.0,0,0,0.5,0.0,24.428571428571427,29.714285714285715,59.57142857142857,1010.0,0,0.0,0,0,0.5,0.0,22.285714285714285,31.714285714285715,47.857142857142854,1011.2857142857143,0,0.0,0,0,0.5,0.0,22.285714285714285,31.714285714285715,47.857142857142854,1011.2857142857143,0,0.0,0,0,0.5,0.0,24.428571428571427,29.714285714285715,59.57142857142857,1010.0,0,0.0,0,0,0.5,0.0,22.285714285714285,31.714285714285715,47.857142857142854,1011.2857142857143,0,0.0,0,0,0.5,0.0,22.285714285714285,31.714285714285715,47.857142857142854,1011.2857142857143,0,0.0,0,0,0.5,0.0,22.285714285714285,31.714285714285715,47.857142857142854,1011.2857142857143,0,0.0,0,0,0.5,0.0,22.285714285714285,31.714285714285715,47.857142857142854,1011.2857142857143
