,casos_2312908,casos_est_2312908,casos_est_min_2312908,casos_est_max_2312908,p_rt1_2312908,p_inc100k_2312908,temp_min_2312908,temp_max_2312908,umid_min_2312908,pressao_min_2312908,casos_2300507,casos_est_2300507,casos_est_min_2300507,casos_est_max_2300507,p_rt1_2300507,p_inc100k_2300507,temp_min_2300507,temp_max_2300507,umid_min_2300507,pressao_min_2300507,casos_2305902,casos_est_2305902,casos_est_min_2305902,casos_est_max_2305902,p_rt1_2305902,p_inc100k_2305902,temp_min_2305902,temp_max_2305902,umid_min_2305902,pressao_min_2305902
2010-01-03,0,0.0,0,0,0.0,0.0,23.333333333333332,28.333333333333332,66.33333333333333,1009.0,0,0.0,0,0,0.0,0.0,23.333333333333332,28.333333333333332,66.33333333333333,1009.0,0,0.0,0,0,0.0,0.0,23.333333333333332,28.333333333333332,66.33333333333333,1009.0
2010-01-10,0,0.0,0,0,0.0,0.0,24.714285714285715,29.714285714285715,59.57142857142857,1009.4285714285714,0,0.0,0,0,0.0,0.0,24.714285714285715,29.714285714285715,59.57142857142857,1009.4285714285714,0,0.0,0,0,0.0,0.0,24.714285714285715,29.714285714285715,59.57142857142857,1009.4285714285714
2010-01-17,0,0.0,0,0,0.0,0.0,25.142857142857142,30.571428571428573,58.142857142857146,1010.7142857142857,0,0.0,0,0,0.0,0.0,25.142857142857142,30.571428571428573,58.142857142857146,1010.7142857142857,0,0.0,0,0,0.0,0.0,25.142857142857142,30.571428571428573,58.142857142857146,1010.7142857142857
2010-01-24,0,0.0,0,0,0.0,0.0,24.714285714285715,30.857142857142858,54.142857142857146,1009.0,0,0.0,0,0,0.0,0.0,24.714285714285715,30.857142857142858,54.142857142857146,1009.0,0,0.0,0,0,0.0,0.0,24.714285714285715,30.857142857142858,54.142857142857146,1009.0
2010-01-31,0,0.0,0,0,0.0,0.0,24.714285714285715,30.571428571428573,61.42857142857143,1007.8571428571429,0,0.0,0,0,0.0,0.0,24.714285714285715,30.571428571428573,61.42857142857143,1007.8571428571429,0,0.0,0,0,0.0,0.0,24.714285714285715,30.571428571428573,61.42857142857143,1007.8571428571429
2010-02-07,0,0.0,0,0,0.5,0.0,25.428571428571427,31.428571428571427,55.714285714285715,1008.7142857142857,0,0.0,0,0,0.5,0.0,25.428571428571427,31.428571428571427,55.714285714285715,1008.7142857142857,0,0.0,0,0,0.5,0.0,25.428571428571427,31.428571428571427,55.714285714285715,1008.7142857142857
2010-02-14,0,0.0,0,0,0.5,0.0,24.857142857142858,30.428571428571427,63.0,1007.5714285714286,0,0.0,0,0,0.5,0.0,24.857142857142858,30.428571428571427,63.0,1007.5714285714286,0,0.0,0,0,0.5,0.0,24.857142857142858,30.428571428571427,63.0,1007.5714285714286
2010-02-21,0,0.0,0,0,0.5,0.0,25.0,30.857142857142858,59.857142857142854,1009.0,0,0.0,0,0,0.5,0.0,25.0,30.857142857142858,59.857142857142854,1009.0,0,0.0,0,0,0.5,0.0,25.0,30.857142857142858,59.857142857142854,1009.0
2010-02-28,0,0.0,0,0,0.5,0.0,25.857142857142858,31.285714285714285,57.142857142857146,1008.7142857142857,0,0.0,0,0,0.5,0.0,25.857142857142858,31.285714285714285,57.142857142857146,1008.7142857142857,0,0.0,0,0,0.5,0.0,25.857142857142858,31.285714285714285,57.142857142857146,1008.7142857142857
2010-03-07,0,0.0,0,0,0.5,0.0,25.857142857142858,31.285714285714285,55.714285714285715,1008.7142857142857,0,0.0,0,0,0.5,0.0,25.857142857142858,31.285714285714285,55.714285714285715,1008.7142857142857,0,0.0,0,0,0.5,0.0,25.857142857142858,31.285714285714285,55.714285714285715,1008.7142857142857
2010-03-14,0,0.0,0,0,0.5,0.0,26.428571428571427,31.285714285714285,54.57142857142857,1008.8571428571429,0,0.0,0,0,0.5,0.0,26.428571428571427,31.285714285714285,54.57142857142857,1008.8571428571429,0,0.0,0,0,0.5,0.0,26.428571428571427,31.285714285714285,54.57142857142857,1008.8571428571429
2010-03-21,0,0.0,0,0,0.5,0.0,25.142857142857142,30.571428571428573,57.714285714285715,866.7142857142857,0,0.0,0,0,0.5,0.0,25.142857142857142,30.571428571428573,57.714285714285715,866.7142857142857,0,0.0,0,0,0.5,0.0,25.142857142857142,30.571428571428573,57.714285714285715,866.7142857142857
2010-03-28,0,0.0,0,0,0.5,0.0,23.571428571428573,29.857142857142858,64.71428571428571,1008.0,0,0.0,0,0,0.5,0.0,23.571428571428573,29.857142857142858,64.71428571428571,1008.0,0,0.0,0,0,0.5,0.0,23.571428571428573,29.857142857142858,64.71428571428571,1008.0
2010-04-04,0,0.0,0,0,0.5,0.0,24.571428571428573,30.714285714285715,62.714285714285715,1007.8571428571429,0,0.0,0,0,0.5,0.0,24.571428571428573,30.714285714285715,62.714285714285715,1007.8571428571429,0,0.0,0,0,0.5,0.0,24.571428571428573,30.714285714285715,62.714285714285715,1007.8571428571429
2010-04-11,0,0.0,0,0,0.5,0.0,25.0,31.0,61.142857142857146,1007.7142857142857,0,0.0,0,0,0.5,0.0,25.0,31.0,61.142857142857146,1007.7142857142857,0,0.0,0,0,0.5,0.0,25.0,31.0,61.142857142857146,1007.7142857142857
2010-04-18,0,0.0,0,0,0.5,0.0,24.0,30.714285714285715,59.42857142857143,1008.8571428571429,0,0.0,0,0,0.5,0.0,24.0,30.714285714285715,59.42857142857143,1008.8571428571429,0,0.0,0,0,0.5,0.0,24.0,30.714285714285715,59.42857142857143,1008.8571428571429
2010-04-25,0,0.0,0,0,0.5,0.0,24.571428571428573,30.857142857142858,62.714285714285715,1009.2857142857143,0,0.0,0,0,0.5,0.0,24.571428571428573,30.857142857142858,62.714285714285715,1009.2857142857143,0,0.0,0,0,0.5,0.0,24.571428571428573,30.857142857142858,62.714285714285715,1009.2857142857143
2010-05-02,0,0.0,0,0,0.5,0.0,24.857142857142858,30.857142857142858,58.57142857142857,1009.8571428571429,0,0.0,0,0,0.5,0.0,24.857142857142858,30.857142857142858,58.57142857142857,1009.8571428571429,0,0.0,0,0,0.5,0.0,24.857142857142858,30.857142857142858,58.57142857142857,1009.8571428571429
2010-05-09,0,0.0,0,0,0.5,0.0,24.428571428571427,30.285714285714285,62.857142857142854,1009.0,0,0.0,0,0,0.5,0.0,24.428571428571427,30.285714285714285,62.857142857142854,1009.0,0,0.0,0,0,0.5,0.0,24.428571428571427,30.285714285714285,62.857142857142854,1009.0
